id,spoiler
0,"24yearold Graham McMillan, the answer is simple there is simply no limit to what he would do for his friends So, when his buddy Danny Kolzow, a 23yearold nurse at Baylor All Saints in Fort Worth, TX, found himself in need of a kidney, McMillan didn’t hesitate to find out if he could donate one of his As it turned out, he was a match He decided to surprise his friend with the good news, and did so in the most incredible way In this emotional clip, McMillan walks into the hospital where Kolzow works He has balloons and a sign in hand that reads, Heard urine need of a kidney, want mine?"
1,"Giving at the expense of your own wellbeing damages your chance of longterm success In an article for The Harvard Business Review, Wharton School of the University of Pennsylvania professor, Dr Adam Grant and Wharton People Analytics researcher Reb Rebele explore the 'generosity burnout' They believe that selflessness at work leads to exhaustion, and ironically often hurts the people you intended to help 'Although givers are the most valuable people in organizations, they’re also at the greatest risk for burnout’, the authors wrote in The Harvard Business Review 'When they don’t protect themselves, their investments in others can cause them to feel overloaded and fatigued, fall behind in their work goals, and face more stress and conflict at home', they said In their currently unpublished research, authors Dr Grant and Mr Rebele studied a range of jobs One data set came from a study conducted with more than 400 teachers in schools throughout the US At the start of the year they asked them questions about their approach to helping others Their answers allowed the authors to predict how well their students would do in their exams at the end of the year Here is a sample question from their test, quoted in Business Insider 1 Prioritise say yes when it matters most 2 Give in a way that is in your own interest and preserves your own energy resources 3 Don't be afraid to refer work to other people when you don't have time 4 Amplify your impact look for ways to help many people in a single gesture 5 Dedicate blocks of time to giving rather than doing it all the time"
2,Meditating inside a beautiful stockphoto room filled with plants is just one health benefit not available to poor people
3,Braconid
4,"1 Start by combining 1 cup salt and 1 cup sugar in a bowl Mix well to combine Place half the mixture in a small baking dish 2 Separate 4 egg yolks, saving the whites for another use Carefully place each egg yolk on top of the saltsugar mixture, and gently sprinkle the yolks with the rest of the saltsugar mixture"
5,John Williams
6,"1 Take a long, warm shower with sweetsmelling essential oils"
7,"assistance dogs are trained to go from being on to off in a few seconds, from hanging out with a chew toy to helping their human in the blink of an eye When strangers stop to play with assistance dogs, they can interfere with their work They're not a piece of equipment, Reiss said They can be distracted Hailey's story illustrates just how important service animals are for their humans — and why their vests shouldn't be ignored"
8,Lord Ivar Mountbatten
9,saving isn't everything
10,"If I were a single mother, the question might be valid But as a married mom whose husband has an equal hand in raising our brood to adulthood, it's quite astonishing to be asked that question again and again No, I didn't hire a babysitter at least not for the nights or weekends No, I didn't leave them with the grandparents"
11,authenticity
12,"Born rsula Hilaria Celia de la Caridad Cruz Alfonso to a workingclass family in Havana in 1925, Cruz took up singing as a child an interest later encouraged by her aunt, who introduced her to the world of Cuba's nightclubs, according to Billboard A student of Cuba's Conservatory of Music, Cruz's career took off in 1950 when she joined La Sonora Matancera, one of Cuba's most prominent dance orchestras"
13,"I know how all this works, but what I think is disrespectful is when people start making out that it's something I have said I've got three more years on my contract with United and the desire to win more titles here"
14,"The protagonist of Malibu, the third short story in Ottessa Moshfegh’s new collection, spends his time making up job applications so he can continue to receive unemployment benefits and try to coax money out of his aging uncle, who has a colostomy bag and does little but eat fatty meals in front of daytime TV"
15,117 billion
16,"The letter explained that once someone transforms into a pig, it's irreversible, and Miyazaki used the metaphor to describe the real world and how greed changes people"
17,"The title, AlMaria says, is in part a reference to the American national holiday of shopping, but also a nod to the holy nature of Fridays in Islam The exhibition posits the thought that shopping malls have become a kind of replacement for religious structures in our contemporary consumer society, she says Gulf Futurism Black Friday sits comfortably in AlMaria's roster of projects Exemplifying of a new generation of creative polymaths, the writerfilmmakerartist has produced photos, directed films, written articles and screenplays, and published a critically acclaimed memoir, The Girl Who Fell to Earth In her memoir AlMaria talks about being brought up between two vastly different cultures Born to an American mother and a Qatari Bedouin father, she spent her childhood in the US before moving to Qatar There, she experienced the intense and rapid technological and cultural development of the Gulf Still from The Future was Desert Part II 2016 by Sophia AlMaria Witnessing this evolution inspired her to coin the term Gulf Futurism, inspired by the idea that time travel had literally occurred in one generation in Qatar, from a sort of preagrarian society at least in terms of Bedouin culture deep into hyper capitalism and consumerism, as AlMaria describes it Technopessimism More than anything, Gulf Futurism is perhaps an investigation into some of the more negative aspects of a hyperconnected digital society that can sometimes be a lonely place a perspective"
18,1 Get an education
19,"Feline nails, unlike ours, are attached to their bones To remove them, vets have to cut through tendon and nerves in order to fully remove the nail and bone The human equivalent, as the Human Society of the United States describes it, is cutting off each finger at the last knuckle The gravity of the procedure is why lobbyists are hoping to make it illegal in New York It's the equivalent of taking a cigar cutter and cutting the end joint off, veterinarian Jennifer Conrad, who helped lobby for the cause, told a Daily Freeman reporter Kristine Brabson, site director of GoodHousekeepingcom and devout cat lover she has six of them, strongly opposes declawing It's torture to cats Why would Mother Nature give your cat claws, for you just to pay to rip them out?"
20,Michael Sam
21,"police in western Sweden initially thought a man whose car was stuck in the snow was Danish, but after a while they realized he slurring his words because he was drunk thelocalse"
22,Swoggi
23,longline yellow raincoat
24,"The Polish Man Project’s At first glance, one painted fingernail on a guy might be determined to be ‘weird’ But upon further inspection, one could learn about the reason of the painted fingernail, and be referred to learn more about the project by visiting The Polish Man Project’s webpage On the website, people can donate to sexual abuse trauma and recovery prevention For this reason, The Polished Man Project is very worthy of attention and admiration Already, the project has taken off in Australia, parts of Europe, and the United States It has inspired countless men to raise awareness about sexual abuse against children, and has compelled some to ‘be the change’ by donating to recovery programs Remember, 1 in 5 children are – or have been – victims of sexual abuse Please raise awareness about this dilemma by sharing this article and commenting your thoughts below"
25,gender matters not when you're rocking the Force like you are
26,The death of Officer Smith made Jessica think about her own family
27,"The poll finds that 28 percent of Americans think Typhoon Haiyan specifically was caused by climate change Another 32 percent said it was not, and 41 percent said they weren't sure Although scientists can't say with certainty whether a specific storm was caused by climate change, rising sea levels make storm surges from hurricanes and typhoons potentially more deadly in coastal areas, contributing to increased destruction"
28,"1 pm, one source with Clinton’s campaign said, the Democrats were worried Republicans were crushing the vote in the Panhandle, Southwest Florida and smaller conservativeleaning counties By 5 pm, our voters showed again, the source, not authorized to speak by the campaign, said We felt pretty good The size of the vote was historic in populous Democratic strongholds like Broward, MiamiDade and Palm Beach counties But turnout was even higher in Republican areas By the end of the night, Trump’s lead was so big that, even if turnout in Florida was modeled at 80 percent – far higher than recent elections – Clinton would still not win if she beat Trump by double digits"
29,Universal Basic Income
30,1 Iceland
31,"you know you’re in trouble when you get this look from your dog After being left for an appointment at the vet, this owner is coming back to pick up their dogand their dog let’s them know exactly how he feels about having been left at the vet"
